# NCBI_GENE_ID	XB_GENE_ID	GENE_SYMBOL	GENE_NAME
GeneID:108696010	XB-GENE-17343692	tdrd1.L	tudor domain-containing protein 1
GeneID:108696011	XB-GENE-17333847	vwa2.L	von Willebrand factor A domain-containing protein 2-like
GeneID:108696012	NA	LOC108696012	actin-binding LIM protein 1-like
GeneID:108696014	XB-GENE-17338903	fhip2a.L	protein FAM160B1-like
GeneID:108696015	NA	LOC108696015	killer cell lectin-like receptor subfamily E member 1
GeneID:108696016	NA	LOC108696016	GDNF family receptor alpha-1
GeneID:108696017	NA	LOC108696017	pancreatic lipase-related protein 2
GeneID:108696019	XB-GENE-17334189	kcnk18.L	potassium channel subfamily K member 18
GeneID:108696020	NA	LOC108696020	synaptic vesicular amine transporter
GeneID:108696021	XB-GENE-17336299	inpp5f.L	phosphatidylinositide phosphatase SAC2
GeneID:108696022	XB-GENE-17344550	grk5.L	G protein-coupled receptor kinase 5
GeneID:108696023	NA	LOC108696023	C-type lectin domain family 2 member B
GeneID:108696024	NA	LOC108696024	early activation antigen CD69
GeneID:108696025	NA	LOC108696025	oxidized low-density lipoprotein receptor 1
GeneID:108696026	NA	LOC108696026	C-type lectin domain family 2 member B
GeneID:108696027	NA	LOC108696027	alpha-2-macroglobulin-like protein 1
GeneID:108696028	NA	LOC108696028	alpha-2-macroglobulin-like
GeneID:108696029	NA	LOC108696029	alpha-2-macroglobulin-like protein 1
GeneID:108696030	XB-GENE-17338868	phc1.L	polyhomeotic-like protein 1
GeneID:108696031	NA	LOC108696031	alpha-2-macroglobulin-like protein 1
GeneID:108696032	XB-GENE-17332785	ca9.L	carbonic anhydrase 9
GeneID:108696033	NA	LOC108696033	alpha-2-macroglobulin
GeneID:108696035	NA	LOC108696035	pregnancy zone protein
GeneID:108696036	NA	LOC108696036	ovostatin
GeneID:108696038	NA	LOC108696038	C-type lectin domain family 2 member B
GeneID:108696039	NA	LOC108696039	beta-citrylglutamate synthase B
GeneID:108696041	NA	LOC108696041	microfibrillar-associated protein 5
GeneID:108696042	XB-GENE-17343668	clstn3.L	calsyntenin-3
GeneID:108696043	XB-GENE-6485598	emg1.L	ribosomal RNA small subunit methyltransferase NEP1
GeneID:108696044	NA	LOC108696044	tyrosine-protein phosphatase non-receptor type 6-like
GeneID:108696045	XB-GENE-6487903	atn1.L	atrophin-1
GeneID:108696046	XB-GENE-17342467	tpi1.L	triosephosphate isomerase-like
GeneID:108696047	XB-GENE-6489083	minpp1.L	multiple inositol polyphosphate phosphatase 1
GeneID:108696048	XB-GENE-17339748	cbarp.L	voltage-dependent calcium channel beta subunit-associated regulatory protein
GeneID:108696049	XB-GENE-17330729	ankrd22.L	ankyrin repeat domain-containing protein 22
GeneID:108696050	NA	LOC108696050	tumor necrosis factor receptor superfamily member 6
GeneID:108696051	NA	LOC108696051	olfactory receptor 8D1
GeneID:108696053	NA	LOC108696053	uncharacterized protein LOC108696053
GeneID:108696054	XB-GENE-6487498	XB5901519.L	tumor protein p63-regulated gene 1-like protein
GeneID:108696055	XB-GENE-6488227	gpr162.L	probable G-protein coupled receptor 162
GeneID:108696056	XB-GENE-22201035	cd4.L	T-cell surface glycoprotein CD4
GeneID:108696057	NA	LOC108696057	THAP domain-containing protein 1
GeneID:108696058	XB-GENE-22201047	lag3.L	lymphocyte activation gene 3 protein
GeneID:108696059	NA	LOC108696059	PILR alpha-associated neural protein
GeneID:108696060	XB-GENE-6489084	ing4.L	inhibitor of growth protein 4
GeneID:108696062	XB-GENE-17345365	iffo1.L	non-homologous end joining factor IFFO1
GeneID:108696063	XB-GENE-6489142	lpar5.L	lysophosphatidic acid receptor 5
GeneID:108696064	NA	LOC108696064	tapasin-related protein
GeneID:108696065	XB-GENE-22201466	ltbr.L	tumor necrosis factor receptor superfamily member 3
GeneID:108696066	XB-GENE-17339607	tnfrsf1a.L	tumor necrosis factor receptor superfamily member 1A
GeneID:108696067	XB-GENE-6462010	cdca3.L	cell division cycle-associated protein 3
GeneID:108696069	XB-GENE-17335398	sgms1.L	phosphatidylcholine:ceramide cholinephosphotransferase 1
GeneID:108696070	XB-GENE-17344299	polr2e.L	DNA-directed RNA polymerases I, II, and III subunit RPABC1
GeneID:108696071	NA	LOC108696071	cGMP-dependent protein kinase 1
GeneID:108696072	XB-GENE-17337757	dkk1.L	dickkopf-related protein 1
GeneID:108696074	NA	LOC108696074	phytanoyl-CoA hydroxylase-interacting protein-like
GeneID:108696075	NA	LOC108696075	protein FAM13C
GeneID:108696076	XB-GENE-6485842	slc16a9.L	monocarboxylate transporter 9
GeneID:108696077	XB-GENE-17333680	ccdc6.L	coiled-coil domain-containing protein 6
GeneID:108696078	NA	LOC108696078	ankyrin-3
GeneID:108696079	XB-GENE-17338209	sbno2.L	protein strawberry notch homolog 2
GeneID:108696080	XB-GENE-17333116	rhobtb1.L	rho-related BTB domain-containing protein 1
GeneID:108696081	XB-GENE-17335781	tmem26.L	transmembrane protein 26
GeneID:108696082	XB-GENE-6489100	cabcoco1.L	ciliary-associated calcium-binding coiled-coil protein 1
GeneID:108696083	NA	LOC108696083	AT-rich interactive domain-containing protein 5B
GeneID:108696085	XB-GENE-6489209	znf365.L	protein ZNF365
GeneID:108696086	XB-GENE-6486620	nrbf2.L	nuclear receptor-binding factor 2
GeneID:108696087	XB-GENE-6486446	jmjd1c.L	probable JmjC domain-containing histone demethylation protein 2C
GeneID:108696088	NA	LOC108696088	CD209 antigen-like protein A
GeneID:108696089	XB-GENE-17343680	ybx3.L	Y-box-binding protein 3
GeneID:108696090	NA	LOC108696090	uncharacterized protein LOC108696090
GeneID:108696091	XB-GENE-17332413	styk1.L	tyrosine-protein kinase STYK1
GeneID:108696092	NA	LOC108696092	synaptonemal complex central element protein 3
GeneID:108696093	NA	LOC108696093	claudin-10
GeneID:108696094	XB-GENE-17330113	htra1.L	serine protease HTRA1-like
GeneID:108696095	XB-GENE-17341088	plekha1.L	pleckstrin homology domain-containing family A member 1
GeneID:108696096	XB-GENE-17345205	tacc2.L	uncharacterized protein tacc2.L
GeneID:108696097	XB-GENE-6487768	wdr11.L	WD repeat-containing protein 11
GeneID:108696098	XB-GENE-17334129	chst15.L	carbohydrate sulfotransferase 15
GeneID:108696099	XB-GENE-17346716	gpr26.L	G-protein coupled receptor 26
GeneID:108696100	XB-GENE-17330535	XB990656.L	disintegrin and metalloproteinase domain-containing protein 9
GeneID:108696101	XB-GENE-6485635	c10orf88.L	ATPase PAAT
GeneID:108696102	XB-GENE-6487825	XB5727634.L	uncharacterized protein XB5727634.L
GeneID:108696103	XB-GENE-17338036	ctbp2.L	uncharacterized protein ctbp2.L
GeneID:108696104	XB-GENE-17346743	abraxas2.L	BRISC complex subunit Abraxas 2
GeneID:108696106	XB-GENE-17337711	inpp5a.1.L	inositol polyphosphate-5-phosphatase A
GeneID:108696107	XB-GENE-17338572	pwwp2b.L	PWWP domain-containing protein 2B
GeneID:108696108	NA	LOC108696108	leucine-rich repeat-containing protein 27
GeneID:108696109	NA	LOC108696109	serine/threonine-protein kinase 32C
GeneID:108696110	XB-GENE-17332379	bnip3.L	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
GeneID:108696111	NA	LOC108696111	serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform
GeneID:108696112	XB-GENE-6095572	grin3b.L	glutamate receptor ionotropic, NMDA 3B
GeneID:108696116	NA	LOC108696116	receptor-type tyrosine-protein phosphatase epsilon
GeneID:108696117	XB-GENE-17337888	dock1.L	dedicator of cytokinesis protein 1
GeneID:108696118	XB-GENE-17346427	insyn2a.L	inhibitory synaptic factor 2A
GeneID:108696120	NA	LOC108696120	(E2-independent) E3 ubiquitin-conjugating enzyme FATS
GeneID:108696121	XB-GENE-17330333	adam12.L	disintegrin and metalloproteinase domain-containing protein 12
GeneID:108696122	XB-GENE-17340417	fank1.L	fibronectin type 3 and ankyrin repeat domains protein 1
GeneID:108696124	XB-GENE-17335211	cyp26c1.L	cytochrome P450 26C1
GeneID:108696125	XB-GENE-17336158	exoc6.L	exocyst complex component 6
GeneID:108696126	XB-GENE-17339571	ide.L	insulin-degrading enzyme
GeneID:108696127	NA	LOC108696127	cytoplasmic polyadenylation element-binding protein 3
GeneID:108696128	XB-GENE-6486587	btaf1.L	TATA-binding protein-associated factor 172
GeneID:108696129	NA	LOC108696129	uncharacterized protein LOC108696129
GeneID:108696130	XB-GENE-17334385	ccnj.L	cyclin-J-like
GeneID:108696131	XB-GENE-17334085	znf518a.L	zinc finger protein 518A
GeneID:108696132	NA	LOC108696132	DNA damage-regulated autophagy modulator protein 1
GeneID:108696134	XB-GENE-18005961	XB5817455.L	heparan sulfate glucosamine 3-O-sulfotransferase 1
GeneID:108696135	XB-GENE-17338113	ventx3.2.L	homeobox protein vex1-like
GeneID:108696136	XB-GENE-17338051	ventx1.2.L	homeobox protein vent1-like
GeneID:108696138	XB-GENE-17332323	kndc1.L	kinase non-catalytic C-lobe domain-containing protein 1
GeneID:108696139	XB-GENE-6488251	cfap46.L	cilia- and flagella-associated protein 46
GeneID:108696140	NA	LOC108696140	glutathione S-transferase omega-1
GeneID:108696142	XB-GENE-17333615	col17a1.L	collagen alpha-1(XVII) chain
GeneID:108696143	NA	LOC108696143	STE20-like serine/threonine-protein kinase
GeneID:108696145	XB-GENE-6488704	sh3pxd2a.L	SH3 and PX domain-containing protein 2A
GeneID:108696146	XB-GENE-17333547	calhm2.L	calcium homeostasis modulator protein 2
GeneID:108696147	NA	LOC108696147	uncharacterized protein LOC108696147
GeneID:108696148	XB-GENE-6487218	slf2.L	SMC5-SMC6 complex localization factor protein 2-like
GeneID:108696149	XB-GENE-17345371	sema4g.L	semaphorin-4G
GeneID:108696150	XB-GENE-17336246	lzts2.L	leucine zipper putative tumor suppressor 2 homolog
GeneID:108696152	XB-GENE-17345967	kazald1.L	kazal-type serine protease inhibitor domain-containing protein 1
GeneID:108696154	NA	LOC108696154	uncharacterized protein LOC108696154
GeneID:108696155	XB-GENE-6488364	poll.L	DNA polymerase lambda
GeneID:108696157	XB-GENE-6486014	oga.L	protein O-GlcNAcase
GeneID:108696158	XB-GENE-6488274	hps6.L	Hermansky-Pudlak syndrome 6 protein
GeneID:108696159	XB-GENE-11536242	pprc1.L	peroxisome proliferator-activated receptor gamma coactivator-related protein 1
GeneID:108696160	XB-GENE-17333363	lcor.L	uncharacterized protein lcor.L
GeneID:108696161	XB-GENE-17331767	XB5832479.L	M-phase inducer phosphatase 3
GeneID:108696162	XB-GENE-17346576	ubtd1.L	ubiquitin domain-containing protein 1
GeneID:108696163	NA	LOC108696163	MORN repeat-containing protein 4
GeneID:108696164	NA	LOC108696164	G-protein coupled receptor 54
GeneID:108696166	NA	LOC108696166	protrudin
GeneID:108696167	XB-GENE-17341501	golga7b.L	golgin subfamily A member 7B
GeneID:108696168	NA	LOC108696168	cartilage acidic protein 1
GeneID:108696169	XB-GENE-6487857	r3hcc1l.L	coiled-coil domain-containing protein R3HCC1L
GeneID:108696171	NA	LOC108696171	tetratricopeptide repeat protein 31
GeneID:108696172	XB-GENE-17335191	hpse2.L	inactive heparanase-2
GeneID:108696173	XB-GENE-17335196	cnnm1.L	metal transporter CNNM1
GeneID:108696175	XB-GENE-17343410	nkx3-3.L	homeobox protein zampogna-like
GeneID:108696177	XB-GENE-6485925	dnmbp.L	dynamin-binding protein
GeneID:108696178	XB-GENE-17344868	r3hdm4.L	R3H domain-containing protein 4
GeneID:108696179	XB-GENE-17345080	pcdh8l.L	protocadherin-8
GeneID:108696180	XB-GENE-6487513	myof.1.L	myoferlin
GeneID:108696182	XB-GENE-22064808	cep55.L	centrosomal protein of 55 kDa
GeneID:108696183	NA	LOC108696183	cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'-like
GeneID:108696184	XB-GENE-17330827	lgi1.L	leucine-rich glioma-inactivated protein 1
GeneID:108696186	XB-GENE-17341078	slc35g1.L	solute carrier family 35 member G1
GeneID:108696187	NA	LOC108696187	interferon-induced protein with tetratricopeptide repeats 5
GeneID:108696189	XB-GENE-17346593	slc16a12.L	monocarboxylate transporter 12
GeneID:108696190	XB-GENE-17332381	pank1.L	pantothenate kinase 1
GeneID:108696191	XB-GENE-22064793	htr7.L	5-hydroxytryptamine receptor 7
GeneID:108696192	XB-GENE-6489206	pcgf5.L	polycomb group RING finger protein 5
GeneID:108696194	XB-GENE-6488315	hectd2.L	probable E3 ubiquitin-protein ligase HECTD2
GeneID:108696195	XB-GENE-17332666	drd1c.L	D(1C) dopamine receptor-like
GeneID:108696196	NA	LOC108696196	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1
GeneID:108696197	XB-GENE-6487938	lrrtm3.L	leucine-rich repeat transmembrane neuronal protein 3
GeneID:108696199	NA	LOC108696199	ATP-dependent translocase ABCB1
GeneID:108696201	XB-GENE-6489265	pkd2l1.L	polycystic kidney disease 2-like 1 protein
GeneID:108696202	XB-GENE-6486837	mypn.L	myopalladin
GeneID:108696203	XB-GENE-6489130	slc25a16.L	graves disease carrier protein
GeneID:108696204	XB-GENE-17332852	rufy2.L	RUN and FYVE domain-containing protein 2
GeneID:108696205	NA	LOC108696205	hexokinase HKDC1
GeneID:108696207	NA	LOC108696207	ATP-dependent RNA helicase SUPV3L1, mitochondrial-like
GeneID:108696209	NA	LOC108696209	uncharacterized protein LOC108696209
GeneID:108696211	NA	LOC108696211	uncharacterized protein LOC108696211
GeneID:108696212	NA	LOC108696212	uncharacterized protein LOC108696212
GeneID:108696213	XB-GENE-17337462	sorbs1.L	sorbin and SH3 domain-containing protein 1
GeneID:108696215	XB-GENE-17335764	pik3ap1.L	phosphoinositide 3-kinase adapter protein 1
GeneID:108696216	XB-GENE-17342957	tm9sf3.L	transmembrane 9 superfamily member 3
GeneID:108696217	NA	LOC108696217	uncharacterized protein LOC108696217
GeneID:108696218	NA	LOC108696218	uncharacterized protein LOC108696218
GeneID:108696220	XB-GENE-6486920	alox5.L	polyunsaturated fatty acid 5-lipoxygenase
GeneID:108696221	XB-GENE-6488768	washc2a.L	WASH complex subunit 2A
GeneID:108696222	NA	LOC108696222	beta-microseminoprotein
GeneID:108696223	NA	LOC108696223	beta-microseminoprotein
GeneID:108696224	XB-GENE-6486319	p4ha1.L	prolyl 4-hydroxylase subunit alpha-1
GeneID:108696226	XB-GENE-6487278	pla2g12b.L	group XIIB secretory phospholipase A2-like protein
GeneID:108696227	XB-GENE-6487115	oit3.L	oncoprotein-induced transcript 3 protein
GeneID:108696228	NA	LOC108696228	coiled-coil domain-containing protein R3HCC1L
GeneID:108696229	XB-GENE-17334754	dnajb12.L	dnaJ homolog subfamily B member 12
GeneID:108696230	XB-GENE-17345925	ddit4.L	DNA damage-inducible transcript 4 protein
GeneID:108696232	XB-GENE-6488382	ascc1.L	activating signal cointegrator 1 complex subunit 1
GeneID:108696233	XB-GENE-17337458	spock2.L	testican-2
GeneID:108696234	XB-GENE-6487040	tysnd1.L	peroxisomal leader peptide-processing protease
GeneID:108696235	NA	LOC108696235	GTP-binding protein SAR1a
GeneID:108696236	XB-GENE-6489323	lrrc20.L	leucine-rich repeat-containing protein 20
GeneID:108696237	XB-GENE-17343128	pald1.L	paladin
GeneID:108696238	XB-GENE-17334362	adamts14.L	A disintegrin and metalloproteinase with thrombospondin motifs 14
GeneID:108696239	NA	LOC108696239	protein Wnt-8b-like
GeneID:108696241	XB-GENE-17344750	hif1an.L	hypoxia-inducible factor 1-alpha inhibitor
GeneID:108696242	NA	LOC108696242	PH and SEC7 domain-containing protein 1-like
GeneID:108696243	XB-GENE-17344493	nfkb2.L	nuclear factor NF-kappa-B p100 subunit-like
GeneID:108696244	NA	LOC108696244	transmembrane protein 150A
GeneID:108696245	XB-GENE-6488452	gbf1.L	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1
GeneID:108696247	XB-GENE-17342959	elovl3.L	elongation of very long chain fatty acids protein 6
GeneID:108696248	XB-GENE-6486878	synpo2l.L	synaptopodin 2-like protein
GeneID:108696249	XB-GENE-17341080	sec24c.L	protein transport protein Sec24C
GeneID:108696250	XB-GENE-6485940	usp54.L	inactive ubiquitin carboxyl-terminal hydrolase 54
GeneID:108696251	XB-GENE-17334421	oxt.L	mesotocin-neurophysin MT
GeneID:108696253	NA	LOC108696253	zinc finger SWIM domain-containing protein 8
GeneID:108696254	XB-GENE-6488607	XB987369.L	neurotrypsin
GeneID:108696256	XB-GENE-6486426	ndst2.L	bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2
GeneID:108696257	XB-GENE-17331708	camk2g.L	calcium/calmodulin-dependent protein kinase type II subunit gamma
GeneID:108696258	XB-GENE-17342965	avp.L	vasotocin-neurophysin VT
GeneID:108696259	NA	LOC108696259	uncharacterized protein LOC108696259
GeneID:108696260	XB-GENE-17338718	neurog3.L	neurogenin-3
GeneID:108696262	XB-GENE-6487259	fam241b.L	protein FAM241B
GeneID:108696263	NA	LOC108696263	cGMP-dependent protein kinase 2
GeneID:108696264	XB-GENE-17338605	col13a1.L	collagen alpha-1(XIII) chain
GeneID:108696265	NA	LOC108696265	uncharacterized protein LOC108696265
GeneID:108696268	XB-GENE-17332348	aifm2.L	ferroptosis suppressor protein 1
GeneID:108696269	XB-GENE-17346796	chst3.L	carbohydrate sulfotransferase 3
GeneID:108696270	XB-GENE-17340938	c10orf105.L	uncharacterized protein C10orf105
GeneID:108696271	XB-GENE-6489334	cdh23.L	cadherin-23
GeneID:108696272	NA	LOC108696272	myoferlin
GeneID:108696273	NA	LOC108696273	vomeronasal type-1 receptor 90
GeneID:108696277	XB-GENE-5893075	XB5893022.L	protransforming growth factor alpha
GeneID:108696278	NA	LOC108696278	protein TBATA
GeneID:108696279	XB-GENE-22166513	XB22166511.L	G-protein coupled receptor 151
GeneID:108696280	NA	LOC108696280	LIM domain-binding protein 3
GeneID:108696282	XB-GENE-17343448	mmrn2.L	multimerin-2
GeneID:108696283	XB-GENE-17335980	glud1.L	glutamate dehydrogenase, mitochondrial
GeneID:108696285	XB-GENE-6488229	nat8.1.L	LOW QUALITY PROTEIN: probable N-acetyltransferase camello
GeneID:108696286	XB-GENE-17330725	syt15.L	synaptotagmin-15
GeneID:108696287	XB-GENE-22065714	homeobox100496651.L	pituitary homeobox 3
GeneID:108696288	XB-GENE-17345822	ret.L	proto-oncogene tyrosine-protein kinase receptor Ret
GeneID:108696289	XB-GENE-17346615	csgalnact2.L	chondroitin sulfate N-acetylgalactosaminyltransferase 2
GeneID:108696290	XB-GENE-22166517	nat8.2.L	probable N-acetyltransferase camello
GeneID:108696291	XB-GENE-17343379	sftpa1.L	pulmonary surfactant-associated protein A
GeneID:108696292	XB-GENE-17341313	mat1a.L	S-adenosylmethionine synthase
GeneID:108696294	XB-GENE-17337064	slc18a3.L	probable vesicular acetylcholine transporter-B
GeneID:108696295	NA	LOC108696295	fatty acid-binding protein 1, liver
GeneID:108696296	XB-GENE-17342166	chat.L	choline O-acetyltransferase
GeneID:108696300	NA	LOC108696300	zinc finger protein 511-like
GeneID:108696304	XB-GENE-6489088	zdhhc5.L	palmitoyltransferase ZDHHC5
GeneID:108696306	NA	LOC108696306	uncharacterized protein LOC108696306
GeneID:108696308	XB-GENE-6487146	aip.L	AH receptor-interacting protein
GeneID:108696309	NA	LOC108696309	cyclin-dependent kinase 2-associated protein 2
GeneID:108696312	XB-GENE-6487026	capg.L	macrophage-capping protein
GeneID:108696313	NA	LOC108696313	uncharacterized protein LOC108696313
GeneID:108696315	NA	LOC108696315	zinc finger protein 845
GeneID:108696318	XB-GENE-6487203	unc93b1.L	protein unc-93 homolog B1
GeneID:108696320	NA	LOC108696320	uncharacterized protein LOC108696320
GeneID:108696321	XB-GENE-17344608	clcf1.L	cardiotrophin-like cytokine factor 1
GeneID:108696323	XB-GENE-17331848	kdm2a.L	lysine-specific demethylase 2A
GeneID:108696325	XB-GENE-6486940	tcirg1.L	V-type proton ATPase 116 kDa subunit a3
GeneID:108696326	XB-GENE-6486838	carns1.L	carnosine synthase 1
GeneID:108696328	NA	LOC108696328	uncharacterized protein LOC108696328
GeneID:108696329	XB-GENE-17340621	poln.L	DNA polymerase nu
GeneID:108696330	XB-GENE-17334156	osbp.L	oxysterol-binding protein 1
GeneID:108696331	NA	LOC108696331	uncharacterized protein LOC108696331
GeneID:108696332	XB-GENE-17339484	zfp91.L	E3 ubiquitin-protein ligase ZFP91
GeneID:108696333	NA	LOC108696333	uncharacterized protein LOC108696333
GeneID:108696337	NA	LOC108696337	FERM and PDZ domain-containing protein 2
GeneID:108696338	XB-GENE-17338931	arhgap22.L	rho GTPase-activating protein 22
GeneID:108696340	XB-GENE-6488661	wdfy4.L	WD repeat- and FYVE domain-containing protein 4
GeneID:108696341	XB-GENE-17334222	vstm4.L	V-set and transmembrane domain-containing protein 4
GeneID:108696342	NA	LOC108696342	cardiac-enriched FHL2-interacting protein
GeneID:108696343	NA	LOC108696343	protein FAM135A-like
GeneID:108696344	XB-GENE-17343244	drgx.L	dorsal root ganglia homeobox protein
GeneID:108696345	XB-GENE-6486094	ercc6.L	DNA excision repair protein ERCC-6
GeneID:108696347	XB-GENE-6486091	rassf4.L	ras association domain-containing protein 4
GeneID:108696348	NA	LOC108696348	growth-regulated alpha protein
GeneID:108696349	XB-GENE-6486233	mtg1.L	mitochondrial ribosome-associated GTPase 1
GeneID:108696350	XB-GENE-17330720	gpr78.L	G-protein coupled receptor 26
GeneID:108696351	XB-GENE-17335459	lzic.L	protein LZIC
GeneID:108696352	XB-GENE-6485835	ube4b.L	ubiquitin conjugation factor E4 B
GeneID:108696355	XB-GENE-6487702	kif1b.L	kinesin-like protein KIF1B
GeneID:108696356	XB-GENE-17337151	s100p.L	protein S100-P
GeneID:108696357	XB-GENE-6486607	dffa.L	DNA fragmentation factor subunit alpha
GeneID:108696358	XB-GENE-6485694	pex14.L	peroxisomal membrane protein PEX14
GeneID:108696359	XB-GENE-1022419	casz1.L	zinc finger protein castor homolog 1
GeneID:108696360	NA	LOC108696360	uncharacterized protein LOC108696360
GeneID:108696361	XB-GENE-11536278	c1orf127.L	uncharacterized protein c1orf127.L
GeneID:108696362	XB-GENE-17330991	masp2.L	mannan-binding lectin serine protease 2
GeneID:108696363	NA	LOC108696363	serine/threonine-protein kinase mTOR
GeneID:108696364	XB-GENE-17331338	ubiad1.L	ubiA prenyltransferase domain-containing protein 1
GeneID:108696366	NA	LOC108696366	protein dispatched homolog 3
GeneID:108696367	XB-GENE-6486138	clcn6.L	chloride transport protein 6
GeneID:108696368	NA	LOC108696368	draxin
GeneID:108696369	XB-GENE-6486891	miip.L	migration and invasion-inhibitory protein
GeneID:108696370	NA	LOC108696370	complement C1q tumor necrosis factor-related protein 7
GeneID:108696371	XB-GENE-17344216	clmp.L	CXADR-like membrane protein
GeneID:108696373	NA	LOC108696373	uncharacterized protein LOC108696373
GeneID:108696374	XB-GENE-18005786	b3gat1.L	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1
GeneID:108696375	XB-GENE-17337712	glb1l2.L	beta-galactosidase-1-like protein 2
GeneID:108696376	XB-GENE-6486617	thyn1.L	thymocyte nuclear protein 1
GeneID:108696377	NA	LOC108696377	junctional adhesion molecule C
GeneID:108696378	XB-GENE-17334057	clrn2.L	clarin-2
GeneID:108696379	NA	LOC108696379	opioid-binding protein/cell adhesion molecule homolog
GeneID:108696381	XB-GENE-17331465	adamts15.L	A disintegrin and metalloproteinase with thrombospondin motifs 15
GeneID:108696382	XB-GENE-17332275	adamts8.L	A disintegrin and metalloproteinase with thrombospondin motifs 8
GeneID:108696385	XB-GENE-17344245	zbtb44l.L	zinc finger and BTB domain-containing protein 44
GeneID:108696389	XB-GENE-22164547	fli1.L	retroviral integration site protein Fli-1 homolog
GeneID:108696390	XB-GENE-17341230	barx2.L	homeobox protein BarH-like 2
GeneID:108696391	XB-GENE-6487016	rhoh.L	rho-related GTP-binding protein RhoH
GeneID:108696392	XB-GENE-17344613	nfrkb.L	nuclear factor related to kappa-B-binding protein
GeneID:108696394	XB-GENE-17335159	chek1.L	serine/threonine-protein kinase Chk1-like
GeneID:108696395	XB-GENE-17342217	ei24.L	etoposide-induced protein 2.4 homolog
GeneID:108696396	XB-GENE-17342889	grxcr1.L	glutaredoxin domain-containing cysteine-rich protein 1
GeneID:108696397	XB-GENE-6486235	pknox2.L	homeobox protein PKNOX2
GeneID:108696398	XB-GENE-6486534	tmem218.L	transmembrane protein 218
GeneID:108696399	XB-GENE-17340176	hepacam.L	hepatocyte cell adhesion molecule
GeneID:108696400	XB-GENE-6488597	robo4.L	roundabout homolog 1
GeneID:108696401	XB-GENE-17346369	gsx2.L	GS homeobox 2
GeneID:108696402	NA	LOC108696402	roundabout homolog 2
GeneID:108696403	NA	LOC108696403	myb/SANT-like DNA-binding domain-containing protein 2
GeneID:108696404	XB-GENE-17339576	esam.L	endothelial cell-selective adhesion molecule
GeneID:108696405	NA	LOC108696405	piggyBac transposable element-derived protein 4-like
GeneID:108696407	NA	LOC108696407	NXPE family member 4
GeneID:108696408	NA	LOC108696408	protein FAM135A-like
GeneID:108696409	NA	LOC108696409	NXPE family member 4
GeneID:108696410	NA	LOC108696410	NXPE family member 1
GeneID:108696411	NA	LOC108696411	NXPE family member 1
GeneID:108696412	NA	LOC108696412	NXPE family member 1
GeneID:108696413	XB-GENE-17346775	fam118b.L	protein FAM118B
GeneID:108696415	XB-GENE-6485948	srpra.L	signal recognition particle receptor subunit alpha
GeneID:108696416	XB-GENE-17331874	ubash3b.L	ubiquitin-associated and SH3 domain-containing protein B
GeneID:108696417	XB-GENE-6489095	XB5896631.L	glucuronokinase 1
GeneID:108696418	NA	LOC108696418	methylosome subunit pICln-like
GeneID:108696419	NA	LOC108696419	jhy protein homolog
GeneID:108696420	NA	LOC108696420	protein FAM135A-like
GeneID:108696421	XB-GENE-6487888	sorl1.L	sortilin-related receptor
GeneID:108696423	XB-GENE-17333753	tecta.1.L	alpha-tectorin
GeneID:108696424	XB-GENE-17342273	tlcd5.L	TLC domain-containing protein 5
GeneID:108696425	XB-GENE-17345521	arhgef12.L	rho guanine nucleotide exchange factor 12
GeneID:108696426	NA	LOC108696426	protein FAM135A-like
GeneID:108696427	NA	LOC108696427	centromere protein U-like
GeneID:108696428	XB-GENE-6488992	thy1.L	thy-1 membrane glycoprotein
GeneID:108696429	XB-GENE-17338342	usp2.L	ubiquitin carboxyl-terminal hydrolase 2
GeneID:108696430	XB-GENE-17334595	mfrp.L	membrane frizzled-related protein
GeneID:108696431	NA	LOC108696431	complement C1q tumor necrosis factor-related protein 5
GeneID:108696432	XB-GENE-17336863	mcam.L	cell surface glycoprotein MUC18
GeneID:108696433	XB-GENE-17332064	cldn22.L	putative claudin-24
GeneID:108696434	NA	LOC108696434	coiled-coil domain-containing protein 153
GeneID:108696435	XB-GENE-6487982	nlrx1.L	NLR family member X1
GeneID:108696436	NA	LOC108696436	putative claudin-24
GeneID:108696437	XB-GENE-22063024	abcg4.L	ATP-binding cassette sub-family G member 4
GeneID:108696438	XB-GENE-6486387	dpagt1.L	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
GeneID:108696439	NA	LOC108696439	coatomer subunit delta
GeneID:108696440	NA	LOC108696440	transmembrane protein 25
GeneID:108696445	XB-GENE-17331790	h2ax.L	histone H2AX-like
GeneID:108696446	XB-GENE-22066190	h2ax.2.L	histone H2A
GeneID:108696447	NA	LOC108696447	pleckstrin homology-like domain family B member 1
GeneID:108696448	XB-GENE-17336426	npy2r.L	neuropeptide Y receptor type 1
GeneID:108696449	XB-GENE-6486752	treh.L	trehalase
GeneID:108696451	XB-GENE-17336180	bcl9l.L	B-cell CLL/lymphoma 9-like protein
