Q66KW8,NP_001078914.1,NM_001085445.1,GeneID:447126,XB-GENE-1016356
A0A8J0TTM7,XP_018090102.1,XM_018234613.2,GeneID:398913,XB-GENE-5715065
A0A1L8ESY6,XP_018090105.1,XM_018234616.2,GeneID:734965,XB-GENE-866261
A0A8J0TRT3,XP_018090107.1,XM_018234618.2,GeneID:734965,XB-GENE-866261
A0A8J0TJZ2,XP_018090109.1,XM_018234620.2,GeneID:734984,XB-GENE-985456
A0A1L8EVE7,XP_018090110.1,XM_018234621.2,GeneID:735033,XB-GENE-947940
A0A1L8EXM0,XP_018090111.1,XM_018234622.2,GeneID:735118,XB-GENE-6254288
A0A8J0TRT7,XP_018090113.1,XM_018234624.2,GeneID:735119,XB-GENE-6254287
A0A1L8ETM1,XP_018090118.1,XM_018234629.2,GeneID:735130,XB-GENE-981923
A0A1L8EXE2,XP_018090120.1,XM_018234631.2,GeneID:735173,XB-GENE-5959447
A0A1L8EXK0,XP_018090121.1,XM_018234632.2,GeneID:735173,XB-GENE-5959447
A0A8J0TK01,XP_018090122.1,XM_018234633.2,GeneID:398968,XB-GENE-6254911
A0A8J0TSK9,XP_018090123.1,XM_018234634.2,GeneID:735191,XB-GENE-6254260
A0A8J0TTP1,XP_018090125.1,XM_018234636.2,GeneID:735228,XB-GENE-1008083
A0A8J0TUU1,XP_018090126.1,XM_018234637.2,GeneID:779100,XB-GENE-865436
A0A1L8EWE9,XP_018090127.1,XM_018234638.2,GeneID:779114,XB-GENE-980964
A0A1L8EWR1,XP_018090129.1,XM_018234640.2,GeneID:779148,XB-GENE-866242
A0A8J0TSL4,XP_018090130.1,XM_018234641.2,GeneID:779148,XB-GENE-866242
A0A1L8ES34,XP_018090135.1,XM_018234646.2,GeneID:779226,XB-GENE-17342334
A0A8J0TUU7,XP_018090136.1,XM_018234647.2,GeneID:779262,XB-GENE-6252785
A0A8J0TRV2,XP_041431722.1,XM_041575788.1,GeneID:779313,XB-GENE-946478
A0A8J0TK10,XP_018090141.1,XM_018234652.2,GeneID:779320,XB-GENE-6086015
A0A1L8EYI0,XP_018090143.1,XM_018234654.2,GeneID:779379,XB-GENE-5734309
A0A8J0TTQ2,XP_018090144.1,XM_018234655.2,GeneID:779379,XB-GENE-5734309
A0A8J0TUV2,XP_018090146.1,XM_018234657.2,GeneID:779395,XB-GENE-6252442
A0A1L8EXD0,XP_018090147.1,XM_018234658.2,GeneID:779395,XB-GENE-6252442
A0A8J0TK15,XP_018090148.2,XM_018234659.2,GeneID:779406,XB-GENE-866076
A0A1L8ETP3,XP_018090150.1,XM_018234661.2,GeneID:779412,XB-GENE-5727621
A0A8J0TUV6,XP_018090151.1,XM_018234662.2,GeneID:779412,XB-GENE-5727621
A0A8J0TRW2,XP_018090154.2,XM_018234665.2,GeneID:108700739,NA
A0A1L8ERN5,XP_018090156.1,XM_018234667.2,GeneID:108700740,XB-GENE-17346491
A0A1L8ERL1,XP_018090157.1,XM_018234668.2,GeneID:108700741,XB-GENE-6487320
A0A1L8ERP1,XP_018090159.1,XM_018234670.2,GeneID:108700742,XB-GENE-6489343
A0A8J0TRW7,XP_018090161.1,XM_018234672.2,GeneID:108700743,XB-GENE-6486068
A0A1L8ERM6,XP_018090164.1,XM_018234675.2,GeneID:108700743,XB-GENE-6486068
A0A1L8ERP3,XP_018090165.1,XM_018234676.2,GeneID:108700745,NA
A0A1L8ERN1,XP_018090167.1,XM_018234678.2,GeneID:108700746,XB-GENE-6489360
A0A1L8ERL4,XP_018090168.1,XM_018234679.2,GeneID:108700747,NA
A0A1L8ERM0,XP_018090169.1,XM_018234680.2,GeneID:108700748,XB-GENE-17338381
A0A1L8ERQ0,XP_018090171.1,XM_018234682.2,GeneID:108700749,XB-GENE-6488339
A0A1L8ERQ8,XP_018090173.1,XM_018234684.2,GeneID:108700750,XB-GENE-17345978
A0A1L8ERN9,XP_018090174.1,XM_018234685.2,GeneID:100380964,XB-GENE-946351
A0A8J0TSP0,XP_018090175.1,XM_018234686.2,GeneID:108700752,XB-GENE-6486359
A0A8J0TTS4,XP_018090176.1,XM_018234687.2,GeneID:108700754,XB-GENE-6485943
A0A8J0TUX6,XP_018090177.1,XM_018234688.2,GeneID:108700754,XB-GENE-6485943
A0A8J0TRY3,XP_018090178.1,XM_018234689.2,GeneID:108700754,XB-GENE-6485943
A0A1L8ERW0,XP_018090179.2,XM_018234690.2,GeneID:108700755,XB-GENE-17338574
A0A1L8ERS9,XP_018090181.1,XM_018234692.2,GeneID:108700757,XB-GENE-22060953
A0A1L8ERR8,XP_018090182.1,XM_018234693.2,GeneID:108700758,XB-GENE-17333623
A0A1L8ERR7,XP_018090183.1,XM_018234694.2,GeneID:446967,XB-GENE-17339847
A0A8J0TRY7,XP_018090186.2,XM_018234697.2,GeneID:108700761,NA
A0A1L8ERV4,XP_018090187.1,XM_018234698.2,GeneID:108700762,XB-GENE-6486942
A0A1L8ERV1,XP_018090188.1,XM_018234699.2,GeneID:108700763,XB-GENE-6486695
A0A1L8ERT6,XP_041432362.1,XM_041576428.1,GeneID:108700764,XB-GENE-17343051
A0A1L8ERU5,XP_018090190.1,XM_018234701.2,GeneID:108700766,XB-GENE-17338918
A0A1L8ERW6,XP_018090191.1,XM_018234702.2,GeneID:108700768,XB-GENE-17343050
A0A1L8ERX3,XP_018090192.1,XM_018234703.2,GeneID:108700769,XB-GENE-17333298
A0A1L8ERX0,XP_018090193.1,XM_018234704.2,GeneID:108700770,XB-GENE-17345393
A0A1L8ERV5,XP_018090194.1,XM_018234705.2,GeneID:108700771,NA
A0A8J0TUZ0,XP_018090195.1,XM_018234706.2,GeneID:399089,XB-GENE-950797
A0A1L8ERV9,XP_018090196.1,XM_018234707.2,GeneID:108700772,XB-GENE-17332903
A0A1L8ES20,XP_018090198.1,XM_018234709.2,GeneID:108700774,XB-GENE-17331738
A0A8J0TSQ8,XP_018090199.1,XM_018234710.2,GeneID:108700774,XB-GENE-17331738
A0A8J0TTU7,XP_018090200.1,XM_018234711.2,GeneID:108700774,XB-GENE-17331738
A0A1L8ERY1,XP_018090201.1,XM_018234712.2,GeneID:108700775,XB-GENE-17345800
A0A1L8ERW5,XP_018090204.1,XM_018234715.2,GeneID:108700776,XB-GENE-17331731
A0A1L8ERZ2,XP_018090205.1,XM_018234716.2,GeneID:108700780,XB-GENE-17332502
A0A8J0TSR3,XP_018090206.1,XM_018234717.2,GeneID:108700780,XB-GENE-17332502
A0A1L8ERZ7,XP_018090207.1,XM_018234718.2,GeneID:108700781,XB-GENE-17340906
A0A8J0TV01,XP_018090209.1,XM_018234720.2,GeneID:399089,XB-GENE-950797
A0A1L8ERZ5,XP_018090217.1,XM_018234728.2,GeneID:100190778,XB-GENE-6255208
A0A1L8ERY9,XP_018090218.1,XM_018234729.2,GeneID:733291,XB-GENE-1008343
A0A8J0TSR8,XP_018090219.1,XM_018234730.2,GeneID:399089,XB-GENE-950797
A0A8J0TTV6,XP_018090221.1,XM_018234732.2,GeneID:108700783,XB-GENE-1035392
A0A8J0TV06,XP_018090222.1,XM_018234733.2,GeneID:108700783,XB-GENE-1035392
A0A8J0TS11,XP_018090225.1,XM_018234736.2,GeneID:108700784,XB-GENE-6487295
A0A1L8ES15,XP_018090227.1,XM_018234738.2,GeneID:108700785,XB-GENE-6488756
A0A1L8ES07,XP_018090228.1,XM_018234739.2,GeneID:733380,XB-GENE-994083
Q5M999,XP_018090229.1,XM_018234740.2,GeneID:399377,XB-GENE-17343601
A0A1L8ES03,XP_018090230.1,XM_018234741.2,GeneID:108700786,NA
A0A1L8ES22,XP_018090234.1,XM_018234745.2,GeneID:108700791,NA
A0A8J0TSS5,XP_018090235.2,XM_018234746.2,GeneID:108700792,XB-GENE-17340160
A0A1L8ES01,XP_041432431.1,XM_041576497.1,GeneID:108700793,XB-GENE-17335677
A0A1L8HRX9,XP_018090237.1,XM_018234748.2,GeneID:399118,XB-GENE-493780
A0A1L8ES27,XP_018090238.1,XM_018234749.2,GeneID:108700795,NA
A0A8J0TK81,XP_018090239.1,XM_018234750.2,GeneID:108700795,NA
A0A8J0TSS9,XP_018090240.1,XM_018234751.2,GeneID:108700795,NA
A0A1L8ES09,XP_018090241.1,XM_018234752.2,GeneID:108700796,XB-GENE-17333365
A0A1L8ES08,XP_018090247.1,XM_018234758.2,GeneID:108700800,XB-GENE-17334404
A0A8J0TTX7,XP_018090248.1,XM_018234759.2,GeneID:108700800,XB-GENE-17334404
A0A8J0TV27,XP_018090249.2,XM_018234760.2,GeneID:108700801,XB-GENE-17340433
A0A1L8ES11,XP_041432104.1,XM_041576170.1,GeneID:108700802,XB-GENE-17340409
A0A1L8ES13,XP_018090253.1,XM_018234764.2,GeneID:100301962,XB-GENE-6448209
A0A1L8ES19,XP_018090262.1,XM_018234773.2,GeneID:108700804,NA
A0A8J0TSU4,XP_018090263.2,XM_018234774.2,GeneID:108700805,XB-GENE-17333606
A0A1L8ES29,XP_018090264.1,XM_018234775.2,GeneID:108700806,NA
A0A8J0TV37,XP_018090265.1,XM_018234776.2,GeneID:108700806,NA
A0A1L8ES26,XP_018090266.1,XM_018234777.2,GeneID:108700807,XB-GENE-17346524
A0A8J0TKA1,XP_018090269.1,XM_018234780.2,GeneID:108700810,NA
A0A1L8ES87,XP_018090270.1,XM_018234781.2,GeneID:108700811,XB-GENE-17346009
A0A1L8ES56,XP_018090271.1,XM_018234782.2,GeneID:108700812,NA
A0A1L8ES53,XP_018090272.1,XM_018234783.2,GeneID:108700813,NA
A0A8J0TTZ6,XP_041432374.1,XM_041576440.1,GeneID:100380989,XB-GENE-990981
A0A1L8ES47,XP_018090279.1,XM_018234790.2,GeneID:108700815,XB-GENE-17345016
A0A1L8ES39,XP_018090280.1,XM_018234791.2,GeneID:108700816,XB-GENE-17346377
A0A1L8ES41,XP_018090281.1,XM_018234792.2,GeneID:108700817,XB-GENE-17338943
A0A1L8ES42,XP_018090282.1,XM_018234793.2,GeneID:108700819,XB-GENE-17334448
A0A8J0TU00,XP_018090283.1,XM_018234794.2,GeneID:108700819,XB-GENE-17334448
A0A1L8ES72,XP_018090284.1,XM_018234795.2,GeneID:108700820,NA
A0A1L8HKS9,XP_018090285.1,XM_018234796.2,GeneID:399120,XB-GENE-6254418
A0A1L8ES57,XP_018090286.2,XM_018234797.2,GeneID:108700821,NA
A0A1L8ES49,XP_018090287.1,XM_018234798.2,GeneID:108700822,NA
A0A1L8ES77,XP_041432819.1,XM_041576885.1,GeneID:733249,XB-GENE-6253453
A0A1L8ES61,XP_041432820.1,XM_041576886.1,GeneID:108700823,XB-GENE-17341121
A0A1L8ES85,XP_018090290.1,XM_018234801.2,GeneID:108700824,XB-GENE-17342051
A0A1L8ES91,XP_018090291.1,XM_018234802.2,GeneID:108700825,XB-GENE-17342472
A0A1L8ES67,XP_018090292.1,XM_018234803.2,GeneID:373657,XB-GENE-6252370
A0A8J0TU09,XP_018090293.1,XM_018234804.2,GeneID:108700826,NA
A0A1L8ES96,XP_018090294.1,XM_018234805.2,GeneID:108700827,NA
A0A8J0TS68,XP_018090295.2,XM_018234806.2,GeneID:108700828,XB-GENE-17337058
A0A8J0TKC5,XP_018090298.1,XM_018234809.2,GeneID:108700830,NA
A0A8J0TSW9,XP_018090299.1,XM_018234810.2,GeneID:108700830,NA
A0A1L8ES80,XP_018090301.1,XM_018234812.2,GeneID:108700831,XB-GENE-6485884
A0A8J0TS74,XP_018090302.1,XM_018234813.2,GeneID:108700831,XB-GENE-6485884
A0A1L8ES79,XP_018090304.1,XM_018234815.2,GeneID:108700832,XB-GENE-17336667
A0A1L8ESB1,XP_018090305.1,XM_018234816.2,GeneID:108700833,XB-GENE-17338401
A0A8J0TU19,XP_018090308.1,XM_018234819.2,GeneID:108700835,XB-GENE-6488989
A0A1L8ES84,XP_018090309.1,XM_018234820.2,GeneID:108700835,XB-GENE-6488989
A0A1L8ES86,XP_018090310.1,XM_018234821.2,GeneID:108700836,XB-GENE-6486406
A0A1L8ESE6,XP_018090312.1,XM_018234823.2,GeneID:108700837,NA
A0A1L8ES93,XP_018090314.1,XM_018234825.2,GeneID:432204,XB-GENE-866178
A0A8J0TV79,XP_018090316.1,XM_018234827.2,GeneID:108700839,XB-GENE-17345351
A0A1L8ESC0,XP_018090317.1,XM_018234828.2,GeneID:108700840,XB-GENE-17337193
A0A1L8ESC1,XP_018090320.1,XM_018234831.2,GeneID:108700842,XB-GENE-6488121
A0A8J0TSY3,XP_018090321.1,XM_018234832.2,GeneID:496171,XB-GENE-972636
A0A1L8ESA9,XP_018090322.1,XM_018234833.2,GeneID:386622,XB-GENE-966542
A0A1L8ESA7,XP_041432794.1,XM_041576860.1,GeneID:108700843,NA
A0A1L8ESA5,XP_018090325.1,XM_018234836.2,GeneID:108700844,XB-GENE-17338277
A0A1L8ESD9,XP_018090327.1,XM_018234838.2,GeneID:100381169,XB-GENE-922061
A0A8J0TU34,XP_018090328.1,XM_018234839.2,GeneID:100381169,XB-GENE-922061
A0A1L8ESB2,XP_018090330.1,XM_018234841.2,GeneID:108700845,XB-GENE-6486542
A0A1L8ESB3,XP_018090331.1,XM_018234842.2,GeneID:108700846,XB-GENE-6485607
A0A1L8ESE2,XP_041433196.1,XM_041577262.1,GeneID:108700847,XB-GENE-22167145
A0A8J0TU38,XP_041432186.1,XM_041576252.1,GeneID:108700848,XB-GENE-6486858
A0A1L8ESC2,XP_041432270.1,XM_041576336.1,GeneID:108700850,XB-GENE-17339934
A0A1L8ESC3,XP_018090338.1,XM_018234849.2,GeneID:108700851,XB-GENE-17339784
A0A1L8ESF3,XP_018090339.1,XM_018234850.2,GeneID:108700852,XB-GENE-17330018
A0A8J0TU42,XP_018090341.1,XM_018234852.2,GeneID:108700853,NA
A0A1L8ESC8,XP_018090344.1,XM_018234855.2,GeneID:108700853,NA
A0A1L8ESF0,XP_018090345.1,XM_018234856.2,GeneID:108700854,XB-GENE-17344966
A0A1L8ESD1,XP_018090348.1,XM_018234859.2,GeneID:108700855,XB-GENE-17340297
A0A8J0TSB1,XP_041433182.1,XM_041577248.1,GeneID:108700855,XB-GENE-17340297
A0A1L8ESD3,XP_018090355.1,XM_018234866.2,GeneID:108700857,NA
A0A8J0TT07,XP_018090357.1,XM_018234868.2,GeneID:108700858,XB-GENE-6488068
A0A1L8ESG9,XP_018090358.1,XM_018234869.2,GeneID:108700858,XB-GENE-6488068
A0A8J0TVB0,XP_018090360.1,XM_018234871.2,GeneID:108700859,XB-GENE-6487948
A0A8J0TSB6,XP_018090364.1,XM_018234875.2,GeneID:108700860,NA
A0A8J1LUH6,XP_041433193.1,XM_041577259.1,GeneID:108700860,NA
A0A8J0TT13,XP_018090367.2,XM_018234878.2,GeneID:108700861,NA
A0A8J0TVB6,XP_041431802.1,XM_041575868.1,GeneID:108700862,NA
A0A1L8ESI1,XP_018090372.1,XM_018234883.2,GeneID:108700863,XB-GENE-17336578
A0A1L8ESF4,XP_018090373.1,XM_018234884.1,GeneID:108700864,NA
A0A1L8ESG7,XP_018090374.1,XM_018234885.2,GeneID:108700866,XB-GENE-17339967
A0A1L8ESG2,XP_018090375.1,XM_018234886.2,GeneID:100462925,XB-GENE-6493987
A0A1L8ESG3,XP_018090377.1,XM_018234888.2,GeneID:108700867,XB-GENE-17341125
A0A8J0TSC8,XP_018090380.1,XM_018234891.2,GeneID:108700867,XB-GENE-17341125
A0A1L8ESK3,XP_018090383.1,XM_018234894.2,GeneID:108700868,XB-GENE-6486553
A0A1L8ESI0,XP_018090384.1,XM_018234895.2,GeneID:108700869,XB-GENE-17341740
A0A1L8ESI7,XP_041431741.1,XM_041575807.1,GeneID:108700871,XB-GENE-6488445
A0A1L8ESI9,XP_018090388.1,XM_018234899.2,GeneID:443717,XB-GENE-1014818
A0A1L8ESJ2,XP_018090390.1,XM_018234901.2,GeneID:108700874,XB-GENE-17341217
A0A8J0TKI6,XP_041431743.1,XM_041575809.1,GeneID:108700874,XB-GENE-17341217
A0A1L8ESI6,XP_018090392.1,XM_018234903.2,GeneID:108700875,XB-GENE-17331205
A0A1L8ESM4,XP_018090394.1,XM_018234905.2,GeneID:108700876,NA
A0A1L8ESJ9,XP_018090395.1,XM_018234906.2,GeneID:108700877,XB-GENE-17330107
A0A1L8ESN1,XP_018090396.1,XM_018234907.2,GeneID:108700880,XB-GENE-22066218
A0A1L8ESK4,XP_018090397.1,XM_018234908.2,GeneID:108700881,NA
A0A1L8ESJ5,XP_018090399.1,XM_018234910.2,GeneID:108700882,XB-GENE-6487359
A0A1L8ESK7,XP_041431754.1,XM_041575820.1,GeneID:108700885,XB-GENE-17332980
A0A8J0TSE6,XP_018090403.1,XM_018234914.2,GeneID:108700886,XB-GENE-6486901
A0A8J0TKJ5,XP_018090404.1,XM_018234915.2,GeneID:108700886,XB-GENE-6486901
A0A1L8ESN5,XP_018090414.1,XM_018234925.2,GeneID:108700890,XB-GENE-6488964
A0A1L8ESP6,XP_018090415.1,XM_018234926.2,GeneID:108700892,XB-GENE-17344937
A0A1L8ESQ0,XP_018090417.2,XM_018234928.2,GeneID:108700893,XB-GENE-6488021
A0A1L8ESP4,XP_041432998.1,XM_041577064.1,GeneID:108700894,XB-GENE-6485966
A0A1L8ESU7,XP_018090420.1,XM_018234931.2,GeneID:414689,XB-GENE-17330542
A0A8J0TT40,XP_018090422.1,XM_018234933.2,GeneID:108700896,NA
A0A8J0TU85,XP_018090423.1,XM_018234934.2,GeneID:108700896,NA
A0A1L8ESQ8,XP_018090425.1,XM_018234936.2,GeneID:108700898,XB-GENE-17333598
A0A1L8ESU2,XP_018090426.1,XM_018234937.2,GeneID:108700899,NA
A0A8J0TKK6,XP_018090427.1,XM_018234938.2,GeneID:108700900,XB-GENE-6485845
A0A8J0TT44,XP_018090428.1,XM_018234939.2,GeneID:108700902,XB-GENE-17341275
A0A1L8EST2,XP_018090433.1,XM_018234944.2,GeneID:108700906,XB-GENE-6487256
A0A8J0TVF3,XP_018090434.1,XM_018234945.2,GeneID:108700906,XB-GENE-6487256
A0A8J0TSG1,XP_018090435.1,XM_018234946.2,GeneID:108700907,XB-GENE-17344350
A0A1L8ESW2,XP_018090436.1,XM_018234947.2,GeneID:108700908,XB-GENE-17342013
A0A8J0TT49,XP_018090438.1,XM_018234949.2,GeneID:108700910,NA
A0A1L8ESU0,XP_018090441.1,XM_018234952.2,GeneID:108700912,XB-GENE-17338665
A0A1L8ESW8,XP_018090442.1,XM_018234953.2,GeneID:108700913,NA
A0A1L8ESV4,XP_018090443.1,XM_018234954.2,GeneID:108700915,XB-GENE-17340368
A0A8J0TKL5,XP_018090444.1,XM_018234955.2,GeneID:108700915,XB-GENE-17340368
A0A8J0TT54,XP_018090445.1,XM_018234956.2,GeneID:108700915,XB-GENE-17340368
A0A8J0TU99,XP_018090448.1,XM_018234959.2,GeneID:108700918,NA
A0A1L8ET00,XP_018090451.1,XM_018234962.2,GeneID:108700920,NA
A0A8J1LVE5,XP_041433507.1,XM_041577573.1,GeneID:108700920,NA
A0A1L8ESY5,XP_041432459.1,XM_041576525.1,GeneID:108700921,XB-GENE-17332297
A0A1L8ESV8,XP_018090455.1,XM_018234966.2,GeneID:108700922,XB-GENE-6488572
A0A8J0TUA3,XP_018090456.1,XM_018234967.2,GeneID:108700922,XB-GENE-6488572
A0A8J0TVG9,XP_018090457.1,XM_018234968.2,GeneID:108700922,XB-GENE-6488572
A0A1L8ESZ4,XP_018090458.1,XM_018234969.2,GeneID:108700923,XB-GENE-6488353
A0A8J0TKM6,XP_018090459.1,XM_018234970.2,GeneID:108700923,XB-GENE-6488353
A0A1L8ESX1,XP_018090462.1,XM_018234973.2,GeneID:108700925,NA
A0A8J0TVH4,XP_018090464.1,XM_018234975.2,GeneID:108700926,XB-GENE-6486367
A0A1L8ESX3,XP_018090465.1,XM_018234976.2,GeneID:108700926,XB-GENE-6486367
A0A8J0TKN1,XP_018090466.1,XM_018234977.2,GeneID:108700926,XB-GENE-6486367
A0A1L8ESX4,XP_018090467.1,XM_018234978.2,GeneID:108700927,XB-GENE-6488872
A0A1L8ESY2,XP_018090468.1,XM_018234979.2,GeneID:108700928,XB-GENE-17345041
A0A8J0TVI2,XP_018090469.1,XM_018234980.2,GeneID:108700932,NA
A0A1L8ESY0,XP_018090470.1,XM_018234981.2,GeneID:108700933,NA
A0A8J0TKN6,XP_018090471.1,XM_018234982.2,GeneID:108700934,XB-GENE-17346468
A0A8J0TT75,XP_018090472.1,XM_018234983.2,GeneID:108700934,XB-GENE-17346468
A0A8J0TUB8,XP_018090473.1,XM_018234984.2,GeneID:108700934,XB-GENE-17346468
A0A8J0TVI7,XP_018090474.1,XM_018234985.2,GeneID:108700935,NA
A0A1L8ET12,XP_018090475.1,XM_018234986.2,GeneID:108700935,NA
A0A1L8ESY9,XP_018090476.1,XM_018234987.2,GeneID:108700936,XB-GENE-17344073
A0A8J0TUC2,XP_018090478.1,XM_018234989.2,GeneID:108700937,NA
A0A8J0TVJ2,XP_018090479.1,XM_018234990.2,GeneID:108700937,NA
A0A8J0TSJ8,XP_041432095.1,XM_041576161.1,GeneID:108700937,NA
A0A8J0TKP7,XP_018090482.1,XM_018234993.2,GeneID:108700938,NA
A0A1L8ET09,XP_018090483.1,XM_018234994.2,GeneID:108700939,XB-GENE-6485867
A0A1L8ET61,XP_018090485.1,XM_018234996.2,GeneID:108700941,XB-GENE-17342345
A0A8J0TSK4,XP_018090486.1,XM_018234997.2,GeneID:108700941,XB-GENE-17342345
A0A1L8ET30,XP_018090487.1,XM_018234998.2,GeneID:108700943,NA
A0A1L8ET07,XP_018090488.1,XM_018234999.2,GeneID:108700944,XB-GENE-6485933
A0A1L8ET74,XP_018090491.1,XM_018235002.2,GeneID:108700946,NA
A0A1L8ET91,XP_018090495.1,XM_018235006.2,GeneID:108700947,XB-GENE-17330023
A0A8J0TVK7,XP_018090496.1,XM_018235007.2,GeneID:108700947,XB-GENE-17330023
A0A1L8ET77,XP_018090497.1,XM_018235008.2,GeneID:108700948,NA
A0A8J0TKR1,XP_018090498.1,XM_018235009.2,GeneID:108700948,NA
A0A1L8ET98,XP_018090502.1,XM_018235013.2,GeneID:108700951,XB-GENE-17330000
A0A8J0TVL1,XP_018090503.1,XM_018235014.2,GeneID:108700952,XB-GENE-6486805
A0A1L8ET84,XP_018090504.1,XM_018235015.2,GeneID:108700952,XB-GENE-6486805
A0A8J0TKR7,XP_018090505.1,XM_018235016.2,GeneID:108700952,XB-GENE-6486805
A0A8J0TTA5,XP_018090506.1,XM_018235017.2,GeneID:108700952,XB-GENE-6486805
A0A8J0TUE3,XP_018090507.1,XM_018235018.2,GeneID:108700952,XB-GENE-6486805
A0A8J0TVL7,XP_018090508.1,XM_018235019.2,GeneID:108700952,XB-GENE-6486805
A0A1L8ET70,XP_018090510.1,XM_018235021.2,GeneID:100158264,XB-GENE-5799220
B3DLK8,XP_018090511.1,XM_018235022.2,GeneID:399202,XB-GENE-6254212
A0A8J0TTA9,XP_018090514.2,XM_018235025.2,GeneID:108700953,NA
A0A1L8ET79,XP_018090516.1,XM_018235027.2,GeneID:108700955,NA
A0A1L8ET76,XP_018090517.1,XM_018235028.2,GeneID:108700956,NA
A0A8J0TSN4,XP_018090518.1,XM_018235029.2,GeneID:399202,XB-GENE-6254212
A0A1L8ET82,XP_018090519.1,XM_018235030.2,GeneID:108700960,XB-GENE-17330802
A0A1L8ET89,XP_018090520.1,XM_018235031.2,GeneID:108700961,XB-GENE-17337579
A0A8J0TUF4,XP_018090521.2,XM_018235032.2,GeneID:108700962,NA
A0A1L8ETB1,XP_018090522.1,XM_018235033.2,GeneID:108700963,NA
A0A8J0TSP1,XP_018090524.1,XM_018235035.2,GeneID:108700964,XB-GENE-17330927
A0A8J0TTC0,XP_018090525.1,XM_018235036.2,GeneID:108700964,XB-GENE-17330927
A0A1L8ETD8,XP_018090527.2,XM_018235038.2,GeneID:108700966,XB-GENE-17337436
A0A1L8ET99,XP_018090528.1,XM_018235039.2,GeneID:108700967,XB-GENE-17332943
A0A1L8ETC1,XP_018090529.1,XM_018235040.2,GeneID:108700968,NA
A0A1L8ETB2,XP_018090532.1,XM_018235043.2,GeneID:108700970,XB-GENE-17338568
A0A8J0TTC8,XP_018090536.1,XM_018235047.2,GeneID:108700973,NA
A0A1L8ETC6,XP_041432045.1,XM_041576111.1,GeneID:108700974,XB-GENE-17331144
A0A1L8ETE1,XP_018090538.1,XM_018235049.2,GeneID:108700975,NA
A0A8J0TSQ0,XP_018090539.1,XM_018235050.2,GeneID:108700975,NA
A0A1L8ETB8,XP_041432886.1,XM_041576952.1,GeneID:108700976,XB-GENE-17341919
A0A8J0TTD2,XP_018090541.1,XM_018235052.2,GeneID:108700976,XB-GENE-17341919
A0A8J0TUG6,XP_018090544.1,XM_018235055.2,GeneID:108700977,NA
A0A8J0TVP5,XP_041432140.1,XM_041576206.1,GeneID:108700978,XB-GENE-17337296
A0A8J0TSQ5,XP_018090546.1,XM_018235057.2,GeneID:108700980,NA
A0A1L8ETF8,XP_041432398.1,XM_041576464.1,GeneID:108700980,NA
A0A1L8ETG6,XP_041433361.1,XM_041577427.1,GeneID:108700982,XB-GENE-18005534
A0A8J0TUH1,XP_018090559.1,XM_018235070.2,GeneID:108700985,XB-GENE-6486364
A0A1L8ETI7,XP_018090560.1,XM_018235071.2,GeneID:108700985,XB-GENE-6486364
A0A8J0TSR1,XP_018090561.1,XM_018235072.2,GeneID:108700985,XB-GENE-6486364
A0A1L8ETG0,XP_018090562.1,XM_018235073.2,GeneID:108700986,XB-GENE-22169397
A0A8J0TTE2,XP_018090563.2,XM_018235074.2,GeneID:108700987,XB-GENE-17343614
A0A8J0TUH6,XP_018090564.2,XM_018235075.2,GeneID:108700987,XB-GENE-17343614
A0A1L8HM93,XP_018090565.2,XM_018235076.2,GeneID:399255,XB-GENE-6254191
A0A8J0TSR7,XP_018090566.1,XM_018235077.2,GeneID:108700988,XB-GENE-6487386
A0A8J0TKW2,XP_018090567.1,XM_018235078.2,GeneID:108700988,XB-GENE-6487386
A0A1L8ETN2,XP_018090568.1,XM_018235079.2,GeneID:108700988,XB-GENE-6487386
A0A8J0TUI1,XP_018090569.1,XM_018235080.2,GeneID:108700989,NA
A0A1L8ETH9,XP_018090570.1,XM_018235081.2,GeneID:108700989,NA
A0A8J0TSS1,XP_018090571.1,XM_018235082.2,GeneID:108700989,NA
A0A1L8ETG8,XP_018090572.1,XM_018235083.2,GeneID:108700989,NA
A0A8J0TTF3,XP_018090574.1,XM_018235085.2,GeneID:399255,XB-GENE-6254191
A0A8J0TUI6,XP_018090575.1,XM_018235086.2,GeneID:108700990,NA
A0A8J0TVR6,XP_018090576.1,XM_018235087.2,GeneID:108700990,NA
A0A1L8ETH7,XP_018090578.1,XM_018235089.2,GeneID:108700992,NA
A0A8J0TTF8,XP_018090579.1,XM_018235090.2,GeneID:108700992,NA
A0A1L8ETJ1,XP_041432966.1,XM_041577032.1,GeneID:108700993,XB-GENE-6487921
A0A8J0TKX6,XP_018090583.1,XM_018235094.2,GeneID:399255,XB-GENE-6254191
A0A8J0TTG3,XP_018090584.1,XM_018235095.2,GeneID:108700993,XB-GENE-6487921
A0A8J0TUJ5,XP_018090585.1,XM_018235096.2,GeneID:108700993,XB-GENE-6487921
A0A8J0TVS8,XP_018090587.1,XM_018235098.2,GeneID:495504,XB-GENE-1005177
A0A1L8ETJ3,XP_041432721.1,XM_041576787.1,GeneID:108700994,XB-GENE-17346059
A0A1L8ETI9,XP_018090589.1,XM_018235100.2,GeneID:108700996,NA
A0A8J0TTG9,XP_018090590.1,XM_018235101.2,GeneID:399255,XB-GENE-6254191
A0A8J0TUK0,XP_018090591.1,XM_018235102.2,GeneID:108700997,XB-GENE-17345827
