GeneID:735223	XB-GENE-478088	tbx1.L	T-box 1 L homeolog
GeneID:108698249	XB-GENE-6486523	mrrf.L	mitochondrial ribosome recycling factor L homeolog
GeneID:108716574	XB-GENE-6486524	kif16b.L	kinesin family member 16B L homeolog
GeneID:108718269	XB-GENE-6486525	gcfc2.S	GC-rich sequence DNA-binding factor 2 S homeolog
GeneID:108708041	XB-GENE-6486526	cluh.L	clustered mitochondria (cluA/CLU1) homolog L homeolog
NA	XB-GENE-6486527	atp9a.L	ATPase, class II, type 9A L homeolog
GeneID:108696574	XB-GENE-6486528	ap5b1.L	adaptor related protein complex 5 subunit beta 1 L homeolog
NA	XB-GENE-6486529	znf805.L	zinc finger protein 805 L homeolog
GeneID:108709837	XB-GENE-6486530	ormdl2.S	ORMDL sphingolipid biosynthesis regulator 2 S homeolog
GeneID:108718008	XB-GENE-6486531	bag2.S	BAG cochaperone 2 S homeolog
GeneID:108701066	XB-GENE-6486532	acss2.1.L	acyl-CoA synthetase short chain family member 2, gene 1 L homeolog
GeneID:108718509	XB-GENE-6486533	adamts16.L	ADAM metallopeptidase with thrombospondin type 1 motif 16 L homeolog
GeneID:108696398	XB-GENE-6486534	tmem218.L	transmembrane protein 218 L homeolog
GeneID:108713446	XB-GENE-6486535	dennd5a.L	DENN/MADD domain containing 5A L homeolog
GeneID:108696403	XB-GENE-6486536	msantd2.L	Myb/SANT-like DNA-binding domain containing 2 L homeolog
GeneID:108699406	XB-GENE-6486537	lrba.L	LPS-responsive vesicle trafficking, beach and anchor containing L homeolog
NA	XB-GENE-6486538	srek1.L	splicing regulatory glutamic acid/lysine-rich protein 1 L homeolog
GeneID:108718858	XB-GENE-6486539	malsu1.L	mitochondrial assembly of ribosomal large subunit 1 L homeolog
GeneID:108697381	XB-GENE-6486540	eef1akmt2.S	EEF1A lysine methyltransferase 2 S homeolog
GeneID:108699873	XB-GENE-6486541	rabl6.S	RAB, member RAS oncogene family like 6 S homeolog
GeneID:108700845	XB-GENE-6486542	dcakd.L	dephospho-CoA kinase domain containing L homeolog
GeneID:108711040	XB-GENE-6486543	nuak1.L	NUAK family kinase 1 L homeolog
GeneID:108717083	XB-GENE-6486544	acsl3.L	acyl-CoA synthetase long chain family member 3 L homeolog
NA	XB-GENE-6486545	zcchc24.S	zinc finger, CCHC domain containing 24 S homeolog
GeneID:108704942	XB-GENE-6486547	cnnm2.L	cyclin and CBS domain divalent metal cation transport mediator 2 L homeolog
GeneID:108699978	XB-GENE-6486548	fpgs.S	folylpolyglutamate synthase S homeolog
GeneID:108714517	XB-GENE-6486549	polr3h.L	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD) L homeolog
GeneID:108718014	XB-GENE-6486550	fam83b.S	family with sequence similarity 83 member B S homeolog
GeneID:108699428	XB-GENE-6486551	ncstn.L	nicastrin L homeolog
GeneID:108700868	XB-GENE-6486553	c9_10h1orf198.L	chromosome 9_10 C1orf198 homolog L homeolog
GeneID:108701409	XB-GENE-6486554	ugt1a1.L	UDP glucuronosyltransferase 1 family, polypeptide A1 L homeolog
GeneID:108701015	XB-GENE-6486555	tk1.L	thymidine kinase 1  L homeolog
GeneID:108707548	XB-GENE-6486556	esyt1.L	extended synaptotagmin-like protein 1 L homeolog
GeneID:108719705	XB-GENE-6486557	hpse.L	heparanase L homeolog
GeneID:108708414	XB-GENE-6486558	tgfbrap1.L	transforming growth factor beta receptor associated protein 1 L homeolog
GeneID:108703145	XB-GENE-6486559	tmem130.S	transmembrane protein 130 S homeolog
GeneID:108713259	XB-GENE-6486561	rbm27.S	RNA binding motif protein 27 S homeolog
GeneID:108708773	XB-GENE-6486562	zar1l.L	zygote arrest 1 like L homeolog
NA	XB-GENE-6486563	itpkb.L	inositol-trisphosphate 3-kinase B L homeolog
GeneID:108719984	XB-GENE-6486564	atp2c1.L	ATPase, Ca++ transporting, type 2C, member 1 L homeolog
GeneID:108711554	XB-GENE-6486565	kcnip3.L	potassium voltage-gated channel interacting protein 3 L homeolog
NA	XB-GENE-6486566	mis18bp1.L	MIS18 binding protein 1 L homeolog
GeneID:108708601	XB-GENE-6486567	cyp27b1.L	cytochrome P450 family 27 subfamily B member 1 L homeolog
GeneID:108708176	XB-GENE-6486568	st7l.L	suppression of tumorigenicity 7 like L homeolog
GeneID:108718016	XB-GENE-6486569	klhl31.S	kelch like family member 31 S homeolog
GeneID:108707965	XB-GENE-6486570	smg6.L	SMG6 nonsense mediated mRNA decay factor L homeolog
GeneID:108716429	XB-GENE-6486571	kcng3.L	potassium channel, voltage gated modifier subfamily G, member 3 L homeolog
GeneID:101027285	XB-GENE-6486572	lyst.L	lysosomal trafficking regulator L homeolog
GeneID:399172	XB-GENE-6486573	prkaa2.S	protein kinase, AMP-activated, alpha 2 catalytic subunit S homeolog
GeneID:108698450	XB-GENE-6486574	hdx.L	highly divergent homeobox L homeolog
GeneID:108697708	XB-GENE-6486575	arhgef16.S	Rho guanine nucleotide exchange factor 16 S homeolog
GeneID:108716027	XB-GENE-6486576	rsph14.L	radial spoke head 14 homolog (Chlamydomonas) L homeolog
GeneID:108713767	XB-GENE-6486577	atg13.L	autophagy related 13 L homeolog
GeneID:108718115	XB-GENE-6486578	tiparp.S	TCDD inducible poly(ADP-ribose) polymerase S homeolog
GeneID:108704950	XB-GENE-6486579	atp5mk.L	ATP synthase membrane subunit k L homeolog
GeneID:100049752	XB-GENE-6486580	pyurf.S	Pigy upstream reading frame S homeolog
GeneID:108705389	XB-GENE-6486581	tmem200c.S	transmembrane protein 200C S homeolog
GeneID:108708395	XB-GENE-6486582	uxs1.L	UDP-glucuronate decarboxylase 1 L homeolog
GeneID:108695958	XB-GENE-6486583	crocc.L	ciliary rootlet coiled-coil, rootletin L homeolog
GeneID:108711147	XB-GENE-6486584	iqub.L	IQ motif and ubiquitin domain containing L homeolog
NA	XB-GENE-6486585	xRNA45SN2L.L	undefined L homeolog
GeneID:108696848	XB-GENE-6486586	spen.L	spen family transcriptional repressor L homeolog
GeneID:108696128	XB-GENE-6486587	btaf1.L	B-TFIID TATA-box binding protein associated factor 1 L homeolog
GeneID:108719190	XB-GENE-6486588	piezo2.L	piezo-type mechanosensitive ion channel component 2 L homeolog
GeneID:108713403	XB-GENE-6486589	b3gnt3.1.L	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, gene 1 L homeolog
GeneID:108719767	XB-GENE-6486590	tsnare1.S	t-SNARE domain containing 1 S homeolog
GeneID:108708599	XB-GENE-6486591	agap2.L	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 L homeolog
GeneID:108709863	XB-GENE-6486592	mbd6.S	methyl-CpG binding domain protein 6 S homeolog
GeneID:108702836	XB-GENE-6486593	ankrd40.S	ankyrin repeat domain 40 S homeolog
GeneID:108717171	XB-GENE-6486594	kidins220.L	kinase D-interacting substrate 220kDa L homeolog
GeneID:108707170	XB-GENE-6486595	mapkapk5.S	mitogen-activated protein kinase-activated protein kinase 5 S homeolog
GeneID:108712670	XB-GENE-6486596	bag4.S	BAG cochaperone 4 S homeolog
NA	XB-GENE-6486597	erbin.L	apurinic/apyrimidinic endodeoxyribonuclease 1 L homeolog
GeneID:108708436	XB-GENE-6486598	herc2.L	HECT and RLD domain containing E3 ubiquitin protein ligase 2 L homeolog
GeneID:108709702	XB-GENE-6486599	tbc1d8.S	TBC1 domain family member 8 S homeolog
GeneID:108696853	XB-GENE-6486600	arhgef10l.L	Rho guanine nucleotide exchange factor 10 like L homeolog
GeneID:108718775	XB-GENE-6486601	mpp7.L	MAGUK p55 scaffold protein 7 L homeolog
NA	XB-GENE-6486602	plekha5.L	pleckstrin homology domain containing A5 L homeolog
GeneID:108700349	XB-GENE-6486603	bola1.S	bolA family member 1 S homeolog
GeneID:108718723	XB-GENE-6486605	scn5a.L	sodium channel, voltage gated, type V alpha subunit L homeolog
NA	XB-GENE-6486606	cpamd8.L	C3 and PZP-like, alpha-2-macroglobulin domain containing 8 L homeolog
GeneID:108696357	XB-GENE-6486607	dffa.L	DNA fragmentation factor, 45kDa, alpha polypeptide L homeolog
GeneID:108699200	XB-GENE-6486608	slc10a1.L	solute carrier family 10 (sodium/bile acid cotransporter), member 1 L homeolog
GeneID:380233	XB-GENE-6486609	prpsap1.S	phosphoribosyl pyrophosphate synthetase-associated protein 1 S homeolog
NA	XB-GENE-6486610	ankle1.L	ankyrin repeat and LEM domain containing 1 L homeolog
GeneID:108719347	XB-GENE-6486611	vps13b.L	vacuolar protein sorting 13 homolog B L homeolog
GeneID:108716594	XB-GENE-6486612	usp34.L	ubiquitin specific peptidase 34 L homeolog
GeneID:108715836	XB-GENE-6486615	mn1.L	meningioma (disrupted in balanced translocation) 1 L homeolog
GeneID:108708280	XB-GENE-6486616	trit1.L	tRNA isopentenyltransferase 1 L homeolog
GeneID:108696376	XB-GENE-6486617	thyn1.L	thymocyte nuclear protein 1 L homeolog
GeneID:108698459	XB-GENE-6486618	tbx22.L	T-box 22 L homeolog
NA	XB-GENE-6486619	znf646.L	zinc finger protein 646 L homeolog
GeneID:108696086	XB-GENE-6486620	nrbf2.L	nuclear receptor binding factor 2 L homeolog
GeneID:108710832	XB-GENE-6486621	dele1.L	DAP3 binding cell death enhancer 1 L homeolog
GeneID:108716573	XB-GENE-6486622	ndufaf5.L	NADH:ubiquinone oxidoreductase complex assembly factor 5 L homeolog
GeneID:108711674	XB-GENE-6486623	evi5l.L	ecotropic viral integration site 5-like L homeolog
GeneID:108708682	XB-GENE-6486624	frem2.L	FRAS1 related extracellular matrix protein 2 L homeolog
NA	XB-GENE-6486626	knl1.L	kinetochore scaffold 1 L homeolog
GeneID:108699275	XB-GENE-6486627	ndufaf1.L	NADH:ubiquinone oxidoreductase complex assembly factor 1 L homeolog
GeneID:108696945	XB-GENE-6486628	XB5760648.L [provisional:pinlyp]	provisional ortholog of phospholipase A2 inhibitor and LY6/PLAUR domain containing L homeolog
NA	XB-GENE-6486629	XB5887252.L [provisional:cd22]	provisional ortholog of CD22 molecule L homeolog
GeneID:108718849	XB-GENE-6486630	phf14.L	PHD finger protein 14 L homeolog
GeneID:108712944	XB-GENE-6486631	chrna7.S	cholinergic receptor, nicotinic alpha 7 S homeolog
GeneID:108708864	XB-GENE-6486632	bach1.S	BTB and CNC homology 1, basic leucine zipper transcription factor 1 S homeolog
GeneID:108708337	XB-GENE-6486633	nipsnap2.L	nipsnap homolog 2 L homeolog
GeneID:108714197	XB-GENE-6486634	zzz3.L	zinc finger, ZZ-type containing 3 L homeolog
GeneID:108718620	XB-GENE-6486635	arhgap39.L	Rho GTPase activating protein 39 L homeolog
GeneID:108705426	XB-GENE-6486636	rasef.L	RAS and EF-hand domain containing L homeolog
GeneID:108698956	XB-GENE-6486637	hnrnpul1.L	heterogeneous nuclear ribonucleoprotein U-like 1 L homeolog
GeneID:108700128	XB-GENE-6486638	cd99l2.S	CD99 molecule like 2 S homeolog
GeneID:108703986	XB-GENE-6486639	znf503.L	zinc finger protein 503 L homeolog
GeneID:108715450	XB-GENE-6486640	c4h19orf12.S	chromosome 4 C19orf12 homolog S homeolog
NA	XB-GENE-6486641	elac2.L	elaC ribonuclease Z 2 L homeolog
GeneID:108717730	XB-GENE-6486642	abcg5.S	ATP binding cassette subfamily G member 5 S homeolog
NA	XB-GENE-6486643	slc51al.L	solute carrier family 51 subunit alpha like L homeolog
GeneID:108701874	XB-GENE-6486644	mfsd6.L	major facilitator superfamily domain containing 6 L homeolog
GeneID:108695765	XB-GENE-6486645	abcc2.L	ATP binding cassette subfamily C member 2 L homeolog
GeneID:108719040	XB-GENE-6486646	exoc3.L	exocyst complex component 3 L homeolog
GeneID:108713465	XB-GENE-6486647	slc5a12.L	solute carrier family 5 member 12 L homeolog
GeneID:108716639	XB-GENE-6486648	mrps5.L	mitochondrial ribosomal protein S5 L homeolog
GeneID:108717032	XB-GENE-6486649	mgam.L	maltase-glucoamylase L homeolog
GeneID:108714558	XB-GENE-6486650	cyth4.L	cytohesin 4 L homeolog
GeneID:108701439	XB-GENE-6486651	trak2.L	trafficking protein, kinesin binding 2 L homeolog
GeneID:108713957	XB-GENE-6486652	ctsf.L	cathepsin F L homeolog
GeneID:734444	XB-GENE-6486653	ptpre.L	protein tyrosine phosphatase, receptor type E L homeolog
GeneID:108695280	XB-GENE-6486654	mep1b.S	meprin A subunit beta S homeolog
GeneID:108707113	XB-GENE-6486655	slc5a1.2.S	solute carrier family 5 (sodium/glucose cotransporter), member 1, gene 2 S homeolog
NA	XB-GENE-6486656	dpep1.L	dipeptidase 1 L homeolog
GeneID:108715203	XB-GENE-6486657	tep1.L	telomerase associated protein 1 L homeolog
GeneID:101027266	XB-GENE-6486659	clca1.3.L	chloride channel accessory 1 gene 3 L homeolog
GeneID:108717068	XB-GENE-6486660	pls1.L	plastin 1 L homeolog
GeneID:108707318	XB-GENE-6486661	rai14.S	retinoic acid induced 14 S homeolog
GeneID:108713950	XB-GENE-6486662	rin1.L	Ras and Rab interactor 1 L homeolog
NA	XB-GENE-6486663	spink1.L	serine peptidase inhibitor Kazal type 1 L homeolog
NA	XB-GENE-6486664	lin54.L	lin-54 DREAM MuvB core complex component L homeolog
GeneID:108702491	XB-GENE-6486665	XB5961859.S [provisional:trim39]	provisional ortholog of tripartite motif containing 39 S homeolog
GeneID:108711128	XB-GENE-6486666	slc4a4.L	solute carrier family 4 member 4 L homeolog
GeneID:108708687	XB-GENE-6486667	spart.L	spartin L homeolog
GeneID:108709751	XB-GENE-6486668	slc15a1.S	solute carrier family 15 (oligopeptide transporter), member 1 S homeolog
GeneID:108718035	XB-GENE-6486669	eif2b5.S	eukaryotic translation initiation factor 2B subunit epsilon S homeolog
GeneID:108696963	XB-GENE-6486670	asah2.L	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2 L homeolog
NA	XB-GENE-6486671	btnl8.L	butyrophilin like 8 L homeolog
GeneID:108701765	XB-GENE-6486672	ace.L	angiotensin I converting enzyme L homeolog
GeneID:108704695	XB-GENE-6486673	crata.L	carnitine O-acetyltransferase a L homeolog
GeneID:108714684	XB-GENE-6486674	gas1.L	growth arrest specific 1 L homeolog
GeneID:108708182	XB-GENE-6486675	tbl1x.L	transducin beta like 1 X-linked L homeolog
GeneID:108704247	XB-GENE-6486676	fryl.S	FRY like transcription coactivator S homeolog
GeneID:108713676	XB-GENE-6486677	lgals2.L	lectin, galactoside binding soluble 2 L homeolog
GeneID:100462924	XB-GENE-6486678	enpp7.L	ectonucleotide pyrophosphatase/phosphodiesterase 7 L homeolog
GeneID:108719336	XB-GENE-6486679	cdh17.L	cadherin 17 L homeolog
GeneID:108709883	XB-GENE-6486680	hdac7.S	histone deacetylase 7 S homeolog
GeneID:108710239	XB-GENE-6486681	cfap43.L	cilia and flagella associated protein 43 L homeolog
GeneID:108716129	XB-GENE-6486682	urb2.L	URB2 ribosome biogenesis 2 homolog L homeolog
GeneID:108701278	XB-GENE-6486683	mgat5.L	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase L homeolog
GeneID:108719405	XB-GENE-6486684	zhx1.L	zinc fingers and homeoboxes 1 L homeolog
GeneID:108708169	XB-GENE-6486685	phtf1.L	putative homeodomain transcription factor 1 L homeolog
GeneID:108717569	XB-GENE-6486686	teddm1.S	transmembrane epididymal protein 1 S homeolog
GeneID:108703025	XB-GENE-6486687	lss.S	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase) S homeolog
GeneID:108708560	XB-GENE-6486688	itga7.L	integrin subunit alpha 7 L homeolog
NA	XB-GENE-6486689	XB991570.L [provisional:plb1]	provisional ortholog of phospholipase B1 L homeolog
NA	XB-GENE-6486690	atg7.S	autophagy related 7 S homeolog
GeneID:108708266	XB-GENE-6486691	ncmap.L	non-compact myelin associated protein L homeolog
NA	XB-GENE-6486692	gvin1.L	GTPase, very large interferon inducible 1 L homeolog
NA	XB-GENE-6486693	prss29.L	protease, serine, 29 L homeolog
GeneID:108714591	XB-GENE-6486694	mon1a.L	MON1 homolog A, secretory trafficking associated L homeolog
GeneID:108700763	XB-GENE-6486695	igfbp4.L	insulin like growth factor binding protein 4 L homeolog
GeneID:108717651	XB-GENE-6486696	xpo5.S	exportin 5 S homeolog
NA	XB-GENE-6486697	klhdc7a.L	kelch domain containing 7A L homeolog
GeneID:108717116	XB-GENE-6486698	st6gal1.L	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1 L homeolog
GeneID:108709667	XB-GENE-6486699	XB5965586.S [provisional:nfkbiz]	provisional ortholog of NFKB inhibitor zeta S homeolog
GeneID:108708238	XB-GENE-6486700	zc3h12a.L	zinc finger CCCH-type containing 12A L homeolog
GeneID:108701103	XB-GENE-6486701	tmem104.L	transmembrane protein 104 L homeolog
NA	XB-GENE-6486702	umod.1.L	uromodulin (uromucoid, Tamm-Horsfall glycoprotein), gene 1 L homeolog
GeneID:108708507	XB-GENE-6486703	pcdh9.L	protocadherin 9 L homeolog
GeneID:108698544	XB-GENE-6486704	vps52.L	VPS52, GARP complex subunit L homeolog
GeneID:108708478	XB-GENE-6486705	farp1.L	FERM, ARH/RhoGEF and pleckstrin domain protein 1 L homeolog
GeneID:108709539	XB-GENE-6486706	smpdl3b.S	sphingomyelin phosphodiesterase acid-like 3B S homeolog
GeneID:108718553	XB-GENE-6486707	lama3.L	laminin subunit alpha 3 L homeolog
GeneID:108715437	XB-GENE-6486708	mlycd.S	malonyl-CoA decarboxylase S homeolog
GeneID:108714302	XB-GENE-6486709	slc5a9.L	solute carrier family 5 member 9 L homeolog
NA	XB-GENE-6486710	XB994119.L [provisional:atp8b2]	provisional ortholog of ATPase phospholipid transporting 8B2 L homeolog
GeneID:108717111	XB-GENE-6486711	cldn15.2.L	claudin 15, gene 2 L homeolog
GeneID:108715329	XB-GENE-6486712	nap1l4.S	nucleosome assembly protein 1like 4 S homeolog
GeneID:108708691	XB-GENE-6486713	brca2.L	BRCA2, DNA repair associated L homeolog
NA	XB-GENE-6486714	col15a1.L	collagen, type XV, alpha 1 L homeolog
GeneID:108716825	XB-GENE-6486715	lama4.L	laminin subunit alpha 4 L homeolog
GeneID:108701178	XB-GENE-6486716	usp43.L	ubiquitin specific peptidase 43 L homeolog
GeneID:108698280	XB-GENE-6486717	faah2.L	fatty acid amide hydrolase 2 L homeolog
NA	XB-GENE-6486718	acacb.L	acetyl-CoA carboxylase beta L homeolog
GeneID:108701407	XB-GENE-6486719	pcnt.L	pericentrin L homeolog
GeneID:108716712	XB-GENE-6486720	serac1.L	serine active site containing 1 L homeolog
GeneID:108718955	XB-GENE-6486721	capn7.L	calpain 7 L homeolog
NA	XB-GENE-6486722	XB5729910.L [provisional]	uncharacterized XB5729910 L homeolog
NA	XB-GENE-6486723	XB5994589.L [provisional]	uncharacterized XB5994589 L homeolog
NA	XB-GENE-6486724	plb1.L	phospholipase B1 L homeolog
GeneID:108700098	XB-GENE-6486725	col4a5.S	collagen, type IV, alpha 5 S homeolog
GeneID:108703038	XB-GENE-6486726	abca12.S	ATP binding cassette subfamily A member 12 S homeolog
GeneID:108698431	XB-GENE-6486727	tbc1d8b.L	TBC1 domain family member 8B L homeolog
GeneID:108699971	XB-GENE-6486728	slc10a3.S	solute carrier family 10 member 3 S homeolog
GeneID:108710839	XB-GENE-6486729	galnt10.L	polypeptide N-acetylgalactosaminyltransferase 10 L homeolog
GeneID:108710706	XB-GENE-6486730	bhlhe41.L	basic helix-loop-helix family member e41 L homeolog
GeneID:108717771	XB-GENE-6486731	anapc1.S	anaphase promoting complex subunit 1 S homeolog
GeneID:108708321	XB-GENE-6486733	vps53.L	VPS53 GARP complex subunit L homeolog
GeneID:108695783	XB-GENE-6486734	mttp.L	microsomal triglyceride transfer protein, gene 1 L homeolog
GeneID:108714369	XB-GENE-6486735	slc44a3.L	solute carrier family 44 member 3 L homeolog
GeneID:108713935	XB-GENE-6486736	chka.L	choline kinase alpha L homeolog
GeneID:108718967	XB-GENE-6486737	acad11.L	acyl-CoA dehydrogenase family member 11 L homeolog
GeneID:108717994	XB-GENE-6486738	arsb.L	arylsulfatase B L homeolog
GeneID:101101701	XB-GENE-6486739	slc12a1.L	solute carrier family 12 member 1 L homeolog
GeneID:108698185	XB-GENE-6486740	card9.L	caspase recruitment domain family member 9 L homeolog
GeneID:108703191	XB-GENE-6486741	vasn.S	vasorin S homeolog
GeneID:108717823	XB-GENE-6486742	ttc13.S	tetratricopeptide repeat domain 13 S homeolog
GeneID:108695395	XB-GENE-6486743	gpr20.S	G protein-coupled receptor 20 S homeolog
GeneID:100462922	XB-GENE-6486744	enpp3.L	ectonucleotide pyrophosphatase/phosphodiesterase 3 L homeolog
GeneID:100861583	XB-GENE-6486745	mx1.L	MX dynamin-like GTPase 1 L homeolog
NA	XB-GENE-6486746	pgm5.L	phosphoglucomutase 5 L homeolog
GeneID:108717731	XB-GENE-6486747	abcg8.S	ATP binding cassette subfamily G member 8 S homeolog
NA	XB-GENE-6486748	ces3.L	carboxylesterase 3 gene 1 L homeolog
GeneID:108699976	XB-GENE-6486749	st6galnac6.S	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6 S homeolog
NA	XB-GENE-6486750	XB5767034.L [provisional]	putative serine protease K12H4.7 L homeolog
GeneID:108715549	XB-GENE-6486751	plbd2.L	phospholipase B domain containing 2 L homeolog
GeneID:108696449	XB-GENE-6486752	treh.L	trehalase L homeolog
GeneID:108716957	XB-GENE-6486753	tnk2.L	tyrosine kinase, non-receptor, 2 L homeolog
GeneID:108703731	XB-GENE-6486754	slc25a51.S	solute carrier family 25 member 51 S homeolog
GeneID:108710158	XB-GENE-6486755	enpep.L	glutamyl aminopeptidase L homeolog
GeneID:108701246	XB-GENE-6486756	lmln.L	leishmanolysin like (metallopeptidase M8 family) L homeolog
GeneID:108700039	XB-GENE-6486757	arhgap4.S	Rho GTPase activating protein 4 S homeolog
GeneID:108715229	XB-GENE-6486758	madd.S	MAP-kinase activating death domain S homeolog
GeneID:108708962	XB-GENE-6486759	cracdl.S	CRACD like S homeolog
GeneID:108718323	XB-GENE-6486760	scara5.S	scavenger receptor class A member 5 S homeolog
GeneID:108710911	XB-GENE-6486761	kcnmb1.L	potassium channel subfamily M regulatory beta subunit 1 L homeolog
GeneID:108708850	XB-GENE-6486762	tmigd1.S	transmembrane and immunoglobulin domain containing 1 S homeolog
GeneID:108697465	XB-GENE-6486763	cox15.S	cytochrome c oxidase assembly homolog COX15 S homeolog
GeneID:108709584	XB-GENE-6486764	tinagl1.S	tubulointerstitial nephritis antigen-like 1 S homeolog
GeneID:108699870	XB-GENE-6486766	lrsam1.S	leucine rich repeat and sterile alpha motif containing 1 S homeolog
GeneID:108696567	XB-GENE-6486767	c1qtnf12.L	C1q and TNF related 12
GeneID:108719109	XB-GENE-6486768	exoc2.L	exocyst complex component 2 L homeolog
GeneID:108717884	XB-GENE-6486769	ust.S	uronyl-2-sulfotransferase S homeolog
GeneID:108696538	XB-GENE-6486770	plch2.L	phospholipase C eta 2 L homeolog
GeneID:108704575	XB-GENE-6486771	kdm5a.L	lysine demethylase 5A L homeolog
GeneID:108704700	XB-GENE-6486772	tor1b.2.L	torsin family 1, member B gene 2 L homeolog
GeneID:108709574	XB-GENE-6486773	rspo1.S	R-spondin 1 S homeolog
NA	XB-GENE-6486774	slc9a5.S	solute carrier family 9 member A5 S homeolog
GeneID:108710243	XB-GENE-6486775	cdhr2.L	cadherin related family member 2 L homeolog
GeneID:108704584	XB-GENE-6486776	cacna2d4.L	calcium channel, voltage-dependent, alpha 2/delta subunit 4 L homeolog
NA	XB-GENE-6486777	candidateForGenepageDeletion1 .L	Putative ortholog of prostatic acid phosphatase precursor (EC 3.1.3.2). [Source:Uniprot/SWISSPROT;Acc:P15309], 1 of 1 L homeolog
GeneID:108715120	XB-GENE-6486778	sipa1.S	signal-induced proliferation-associated 1 S homeolog
GeneID:108698655	XB-GENE-6486779	acp7.L	acid phosphatase 7, tartrate resistant (putative) L homeolog
GeneID:108715201	XB-GENE-6486780	ifitm1.S	interferon induced transmembrane protein 1 S homeolog
NA	XB-GENE-6486781	umod.2.L	uromodulin (uromucoid, Tamm-Horsfall glycoprotein), gene 2 L homeolog
GeneID:108713886	XB-GENE-6486782	atg2a.L	autophagy related 2A L homeolog
GeneID:108711626	XB-GENE-6486783	inpp5a.2.L	inositol polyphosphate-5-phosphatase, 40kDa, gene 2 L homeolog
GeneID:108718027	XB-GENE-6486784	clcn2.S	chloride voltage-gated channel 2 S homeolog
GeneID:100137633	XB-GENE-6486785	mgc108497.L	uncharacterized protein mgc108497 L homeolog
GeneID:108719398	XB-GENE-6486787	sntb1.L	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1) L homeolog
GeneID:108696000	XB-GENE-6486788	nrap.L	nebulin related anchoring protein L homeolog
GeneID:108709666	XB-GENE-6486790	nxpe3.S	neurexophilin and PC-esterase domain family member 3 S homeolog
NA	XB-GENE-6486791	try10.L	trypsin 10 L homeolog
GeneID:108708051	XB-GENE-6486792	XB5951253.L [provisional:mov10]	provisional ortholog of Mov10 RISC complex RNA helicase L homeolog
GeneID:108711320	XB-GENE-6486793	cplx3.L	complexin 3 L homeolog
GeneID:108711614	XB-GENE-6486794	fhip2b.L	FHF complex subunit HOOK interacting protein 2B L homeolog
GeneID:108701841	XB-GENE-6486795	neb.L	nebulin L homeolog
GeneID:108696834	XB-GENE-6486796	eif4g3.L	eukaryotic translation initiation factor 4 gamma, 3 L homeolog
GeneID:108711585	XB-GENE-6486797	aebp1.L	AE binding protein 1 L homeolog
GeneID:108703391	XB-GENE-6486798	mat1a.S	methionine adenosyltransferase I, alpha S homeolog
GeneID:108712247	XB-GENE-6486799	dgki.S	diacylglycerol kinase, iota S homeolog
NA	XB-GENE-6486800	plg.L	plasminogen L homeolog
NA	XB-GENE-6486802	klk15.L	kallikrein related peptidase 15 L homeolog
GeneID:108703858	XB-GENE-6486803	rtkn.S	rhotekin S homeolog
GeneID:108713045	XB-GENE-6486804	itih5.S	inter-alpha-trypsin inhibitor heavy chain family member 5 S homeolog
GeneID:108700952	XB-GENE-6486805	rtel1.L	regulator of telomere elongation helicase 1 L homeolog
GeneID:108698517	XB-GENE-6486806	ercc2.L	excision repair cross-complementation group 2 L homeolog
GeneID:108718915	XB-GENE-6486807	galnt15.L	polypeptide N-acetylgalactosaminyltransferase 15 L homeolog
GeneID:108708274	XB-GENE-6486808	macf1.L	microtubule actin crosslinking factor 1 L homeolog
GeneID:108711647	XB-GENE-6486809	htra4.L	HtrA serine peptidase 4 L homeolog
GeneID:108705060	XB-GENE-6486810	tmem269.L	transmembrane protein 269 L homeolog
GeneID:108718770	XB-GENE-6486811	svil.L	supervillin L homeolog
GeneID:108711377	XB-GENE-6486812	ccpg1.L	cell cycle progression 1 L homeolog
GeneID:108719762	XB-GENE-6486813	asap1.S	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1 S homeolog
GeneID:108717017	XB-GENE-6486814	lrrc31.L	leucine rich repeat containing 31 L homeolog
GeneID:733429	XB-GENE-6486815	pzp.L	pregnancy-zone protein L homeolog
GeneID:108713658	XB-GENE-6486816	svep1.L	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 L homeolog
GeneID:108712205	XB-GENE-6486817	apba3.L	amyloid beta (A4) precursor protein-binding, family A, member 3 L homeolog
GeneID:108699490	XB-GENE-6486818	msto1.L	misato 1, mitochondrial distribution and morphology regulator L homeolog
NA	XB-GENE-6486819	kdm4b.L	lysine (K)-specific demethylase 4B L homeolog
GeneID:108701768	XB-GENE-6486820	ocstamp.L	osteoclast stimulatory transmembrane protein L homeolog
